bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
JDT-55867,2004-03-24,Text,JDT,[misc] Hang when clicking quickfix rollover,"I 2004-03-24+plugin export

1) Import junit 3.8.1 into project JUnit with a source folder src
2) create the following two classes in the src folder:

/*
 * Created on Mar 24 2004
 *
 * @todo To change the template for this generated file go to
 * Window - Preferences - Java - Code Generation - Code and Comments
 */
/**
 * @author TMA
 *
 * @todo To change the template for this generated type comment go to
 * Window - Preferences - Java - Code Generation - Code and Comments
 */
public class Bla {
	protected String foo
	
	public void foo() {
		int foo= 13
		
	}
}


/*
 * Created on Mar 24 2004
 *
 * @todo To change the template for this generated file go to
 * Window - Preferences - Java - Code Generation - Code and Comments
 */
/**
 * @author TMA
 *
 * @todo To change the template for this generated type comment go to
 * Window - Preferences - Java - Code Generation - Code and Comments
 */
public class Bar extends Bla {
	protected int foo
	
	public void gogo() {
		foo= 32
	}
}

3) I have set up the compiler options such that I get an error against Bar.foo
because it hides the Bla.foo
4) I use the rollover on the quickfix for the problem
5) Eclipse hangs in this state:

Stack Traces of Threads:


ThreadName=main(00035B5C)
Status=Waiting
Monitor=019E8170 (Object monitor for java/lang/Object @ 00E33630)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait()V
        In org/eclipse/jdt/internal/ui/javaeditor/ASTProvider.getAST(Lorg/eclips
e/jdt/core/IJavaElementZLorg/eclipse/core/runtime/IProgressMonitor)Lorg/eclips
e/jdt/core/dom/CompilationUnit
        In org/eclipse/jdt/internal/ui/text/correction/AssistContext.getASTRoot(
)Lorg/eclipse/jdt/core/dom/CompilationUnit
        In org/eclipse/jdt/internal/ui/text/correction/LocalCorrectionsSubProces
sor.addHidingVariablesProposals(Lorg/eclipse/jdt/ui/text/java/IInvocationContext
Lorg/eclipse/jdt/ui/text/java/IProblemLocationLjava/util/Collection)V
        In org/eclipse/jdt/internal/ui/text/correction/QuickFixProcessor.process
(Lorg/eclipse/jdt/ui/text/java/IInvocationContextLorg/eclipse/jdt/ui/text/java/
IProblemLocationLjava/util/Collection)V
        In org/eclipse/jdt/internal/ui/text/correction/QuickFixProcessor.getCorr
ections(Lorg/eclipse/jdt/ui/text/java/IInvocationContext[Lorg/eclipse/jdt/ui/te
xt/java/IProblemLocation)[Lorg/eclipse/jdt/ui/text/java/IJavaCompletionProposal

        In org/eclipse/jdt/internal/ui/text/correction/JavaCorrectionProcessor.c
ollectCorrections(Lorg/eclipse/jdt/ui/text/java/IInvocationContext[Lorg/eclipse
/jdt/ui/text/java/IProblemLocationLjava/util/ArrayList)V
        In org/eclipse/jdt/internal/ui/text/correction/JavaCorrectionProcessor.p
rocessProblemAnnotations(Lorg/eclipse/jdt/ui/text/java/IInvocationContextLorg/e
clipse/jface/text/source/IAnnotationModelLjava/util/ArrayList)V
        In org/eclipse/jdt/internal/ui/text/correction/JavaCorrectionProcessor.c
omputeCompletionProposals(Lorg/eclipse/jface/text/ITextViewerI)[Lorg/eclipse/jf
ace/text/contentassist/ICompletionProposal
        In org/eclipse/jface/text/contentassist/ContentAssistant.computeCompleti
onProposals(Lorg/eclipse/jface/text/ITextViewerI)[Lorg/eclipse/jface/text/conte
ntassist/ICompletionProposal
        In org/eclipse/jface/text/contentassist/CompletionProposalPopup.computeP
roposals(I)[Lorg/eclipse/jface/text/contentassist/ICompletionProposal
        In org/eclipse/jface/text/contentassist/CompletionProposalPopup.access$7
(Lorg/eclipse/jface/text/contentassist/CompletionProposalPopupI)[Lorg/eclipse/j
face/text/contentassist/ICompletionProposal
        In org/eclipse/jface/text/contentassist/CompletionProposalPopup$1.run()V

        In org/eclipse/swt/custom/BusyIndicator.showWhile(Lorg/eclipse/swt/widge
ts/DisplayLjava/lang/Runnable)V
        In org/eclipse/jface/text/contentassist/CompletionProposalPopup.showProp
osals(Z)Ljava/lang/String
        In org/eclipse/jface/text/contentassist/ContentAssistant.showPossibleCom
pletions()Ljava/lang/String
        In org/eclipse/jdt/internal/ui/text/correction/JavaCorrectionAssistant.s
howPossibleCompletions()Ljava/lang/String
        In org/eclipse/jdt/internal/ui/javaeditor/CompilationUnitEditor$AdaptedS
ourceViewer.doOperation(I)V
        In org/eclipse/jdt/internal/ui/javaeditor/JavaSelectMarkerRulerAction2.a
nnotationDefaultSelected(Lorg/eclipse/jface/text/source/AnnotationEvent)V
        In org/eclipse/jface/text/source/CompositeRuler.annotationDefaultSelecte
d(Lorg/eclipse/jface/text/source/AnnotationEvent)V
        In org/eclipse/ui/internal/texteditor/AnnotationExpansionControl$Item.de
faultSelected()V
        In org/eclipse/ui/internal/texteditor/AnnotationExpansionControl$MyMouse
Listener.mouseUp(Lorg/eclipse/swt/events/MouseEvent)V
        In org/eclipse/swt/widgets/TypedListener.handleEvent(Lorg/eclipse/swt/wi
dgets/Event)V
        In org/eclipse/swt/widgets/EventTable.sendEvent(Lorg/eclipse/swt/widgets
/Event)V
        In org/eclipse/swt/widgets/Widget.sendEvent(Lorg/eclipse/swt/widgets/Eve
nt)V
        In org/eclipse/swt/widgets/Display.runDeferredEvents()Z
        In org/eclipse/swt/widgets/Display.readAndDispatch()Z
        In org/eclipse/ui/internal/Workbench.runEventLoop(Lorg/eclipse/jface/win
dow/Window$IExceptionHandlerLorg/eclipse/swt/widgets/Display)V
        In org/eclipse/ui/internal/Workbench.runUI()I
        In org/eclipse/ui/internal/Workbench.createAndRunWorkbench(Lorg/eclipse/
swt/widgets/DisplayLorg/eclipse/ui/application/WorkbenchAdvisor)I
        In org/eclipse/ui/PlatformUI.createAndRunWorkbench(Lorg/eclipse/swt/widg
ets/DisplayLorg/eclipse/ui/application/WorkbenchAdvisor)I
        In org/eclipse/ui/internal/ide/IDEApplication.run(Ljava/lang/Object)Lja
va/lang/Object
        In org/eclipse/core/internal/runtime/PlatformActivator$1.run(Ljava/lang/
Object)Ljava/lang/Object
        In org/eclipse/core/runtime/adaptor/EclipseStarter.run(Ljava/lang/Object
)Ljava/lang/Object
        In org/eclipse/core/runtime/adaptor/EclipseStarter.run([Ljava/lang/Strin
gLjava/lang/Runnable)Ljava/lang/Object
        In sun/reflect/NativeMethodAccessorImpl.invoke0(Ljava/lang/reflect/Metho
dLjava/lang/Object[Ljava/lang/Object)Ljava/lang/Object
        In sun/reflect/NativeMethodAccessorImpl.invoke(Ljava/lang/Object[Ljava/
lang/Object)Ljava/lang/Object
        In sun/reflect/DelegatingMethodAccessorImpl.invoke(Ljava/lang/Object[Lj
ava/lang/Object)Ljava/lang/Object
        In java/lang/reflect/Method.invoke(Ljava/lang/Object[Ljava/lang/Object
)Ljava/lang/Object
        In org/eclipse/core/launcher/Main.basicRun([Ljava/lang/String)Ljava/lan
g/Object
        In org/eclipse/core/launcher/Main.run([Ljava/lang/String)I
        In org/eclipse/core/launcher/Main.main([Ljava/lang/String)V

ThreadName=Gc Thread(00035CAC)
Status=Waiting
Monitor=00035168 (System monitor)
Count=0
Owner=(00000000)

ThreadName=Finalizer thread(00035D00)
Status=Waiting
Monitor=000359A8 (System monitor)
Count=0
Owner=(00000000)

ThreadName=Framework Event Dispatcher(00035D54)
Status=Waiting
Monitor=00035AF8 (Object monitor for org/eclipse/osgi/framework/eventmgr/EventTh
read @ 009C1784)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait()V
        In org/eclipse/osgi/framework/eventmgr/EventThread.getNextEvent()Lorg/ec
lipse/osgi/framework/eventmgr/EventThread$EventThreadItem
        In org/eclipse/osgi/framework/eventmgr/EventThread.run()V

ThreadName=Start Level Event Dispatcher(00035DA8)
Status=Waiting
Monitor=019E7B70 (Object monitor for org/eclipse/osgi/framework/eventmgr/EventTh
read @ 009C1718)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait()V
        In org/eclipse/osgi/framework/eventmgr/EventThread.getNextEvent()Lorg/ec
lipse/osgi/framework/eventmgr/EventThread$EventThreadItem
        In org/eclipse/osgi/framework/eventmgr/EventThread.run()V

ThreadName=Java indexing(00035DFC)
Status=Waiting
Monitor=019E8110 (Object monitor for org/eclipse/jdt/internal/core/search/indexi
ng/IndexManager @ 00DC29BC)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait()V
        In org/eclipse/jdt/internal/core/search/processing/JobManager.run()V
        In java/lang/Thread.run()V

ThreadName=Worker-29(000361EC)
Status=Waiting
Monitor=019E80B0 (Object monitor for org/eclipse/core/internal/jobs/WorkerPool @
 00BA6310)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.sleep(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.startJob(Lorg/eclipse/core/
internal/jobs/Worker)Lorg/eclipse/core/internal/jobs/InternalJob
        In org/eclipse/core/internal/jobs/Worker.run()V

ThreadName=org.eclipse.jdt.internal.ui.text.JavaReconciler(00035FF4)
Status=Waiting
Monitor=01A9B598 (Object monitor for org/eclipse/jface/text/reconciler/DirtyRegi
onQueue @ 06589C48)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/jface/text/reconciler/AbstractReconciler$BackgroundThread
.run()V

ThreadName=org.eclipse.jdt.internal.ui.text.JavaReconciler(00035EA4)
Status=Waiting
Monitor=01A9B3E8 (Object monitor for org/eclipse/jface/text/reconciler/DirtyRegi
onQueue @ 07DAA000)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/jface/text/reconciler/AbstractReconciler$BackgroundThread
.run()V

ThreadName=Worker-37(00036144)
Status=Waiting
Monitor=019E80B0 (Object monitor for org/eclipse/core/internal/jobs/WorkerPool @
 00BA6310)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.sleep(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.startJob(Lorg/eclipse/core/
internal/jobs/Worker)Lorg/eclipse/core/internal/jobs/InternalJob
        In org/eclipse/core/internal/jobs/Worker.run()V

ThreadName=org.eclipse.jdt.internal.ui.text.JavaReconciler(0003633C)
Status=Waiting
Monitor=01A9B4A8 (Object monitor for org/eclipse/jface/text/reconciler/DirtyRegi
onQueue @ 0748E494)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/jface/text/reconciler/AbstractReconciler$BackgroundThread
.run()V

ThreadName=Worker-38(00036048)
Status=Waiting
Monitor=019E80B0 (Object monitor for org/eclipse/core/internal/jobs/WorkerPool @
 00BA6310)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.sleep(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.startJob(Lorg/eclipse/core/
internal/jobs/Worker)Lorg/eclipse/core/internal/jobs/InternalJob
        In org/eclipse/core/internal/jobs/Worker.run()V

ThreadName=Worker-39(00036294)
Status=Waiting
Monitor=019E8170 (Object monitor for java/lang/Object @ 00E33630)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait()V
        In org/eclipse/jdt/internal/ui/javaeditor/ASTProvider.getAST(Lorg/eclips
e/jdt/core/IJavaElementZLorg/eclipse/core/runtime/IProgressMonitor)Lorg/eclips
e/jdt/core/dom/CompilationUnit
        In org/eclipse/jdt/internal/ui/viewsupport/SelectionListenerWithASTManag
er$PartListenerGroup.calculateASTandInform(Lorg/eclipse/jdt/core/IJavaElementLo
rg/eclipse/jface/text/ITextSelectionLorg/eclipse/core/runtime/IProgressMonitor
)Lorg/eclipse/core/runtime/IStatus
        In org/eclipse/jdt/internal/ui/viewsupport/SelectionListenerWithASTManag
er$1.run(Lorg/eclipse/core/runtime/IProgressMonitor)Lorg/eclipse/core/runtime/I
Status
        In org/eclipse/core/internal/jobs/Worker.run()V

ThreadName=org.eclipse.jdt.internal.ui.text.JavaReconciler(00036240)
Status=Waiting
Monitor=019E7A50 (System monitor)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/jface/text/reconciler/AbstractReconciler$BackgroundThread
.run()V

ThreadName=Worker-40(000360F0)
Status=Waiting
Monitor=019E80B0 (Object monitor for org/eclipse/core/internal/jobs/WorkerPool @
 00BA6310)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.sleep(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.startJob(Lorg/eclipse/core/
internal/jobs/Worker)Lorg/eclipse/core/internal/jobs/InternalJob
        In org/eclipse/core/internal/jobs/Worker.run()V

ThreadName=Worker-41(00036390)
Status=Waiting
Monitor=019E80B0 (Object monitor for org/eclipse/core/internal/jobs/WorkerPool @
 00BA6310)
Count=0
Owner=(00000000)
        In java/lang/Object.wait(JI)V
        In java/lang/Object.wait(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.sleep(J)V
        In org/eclipse/core/internal/jobs/WorkerPool.startJob(Lorg/eclipse/core/
internal/jobs/Worker)Lorg/eclipse/core/internal/jobs/InternalJob
        In org/eclipse/core/internal/jobs/Worker.run()V",daniel_megert,tmader,fixed,1,resolved,4,2004-03-25,0,12,2004-03-24,0,blocker,6
ORION-426413,2014-01-23,Git,ORION,Credentials prompt More button does not work,"Using orion.eclipse.org build I20140122-2230

1. My Git repo has 1 commit to push
2. From the git-status page I click Push All
3. The slideout appears asking for a password. (I don't have password auth set up for this repo -- I always use an SSH key). So I click the More button on the slideout which is supposed to show the advanced credentials dialog.
4. Nothing happens. There is no exception in the log

The dialog never appears so I cannot proceed with the push.",mamacdon,mamacdon,fixed,1,resolved,4,2014-01-23,0,5,2014-01-23,0,blocker,6
EQUINOX-457718,2015-01-16,Framework,EQUINOX,OutOfMemoryError (Java Heap Space) when resolving bundles,"Cloning bug for considering a backport to Luna SR2
+++ This bug was initially created as a clone of Bug #457118 +++

Hello 

When trying to start Capella (https://polarsys.org/capella/) on Luna we encounter OutOfMemoryError (please see the stacktrace below). This problem doesn't occur on Kepler and previous versions. It seems that there is too many blames objects generated in our case. After some research it seems to be related to https://issues.apache.org/jira/browse/FELIX-3465.

You can reproduce the problem with a Capella installation for Luna from here : https://hudson.polarsys.org/capella/job/capella-gerrit/81/artifact/result/publish/

!ENTRY org.eclipse.equinox.simpleconfigurator 4 0 2015-01-09 09:56:32.376
!MESSAGE FrameworkEvent ERROR
!STACK 0
org.osgi.framework.BundleException: Exception in org.eclipse.equinox.internal.simpleconfigurator.Activator.start() of bundle org.eclipse.equinox.simpleconfigurator.
	at org.eclipse.osgi.internal.framework.BundleContextImpl.startActivator(BundleContextImpl.java:792)
	at org.eclipse.osgi.internal.framework.BundleContextImpl.start(BundleContextImpl.java:721)
	at org.eclipse.osgi.internal.framework.EquinoxBundle.startWorker0(EquinoxBundle.java:936)
	at org.eclipse.osgi.internal.framework.EquinoxBundle$EquinoxModule.startWorker(EquinoxBundle.java:319)
	at org.eclipse.osgi.container.Module.doStart(Module.java:571)
	at org.eclipse.osgi.container.Module.start(Module.java:439)
	at org.eclipse.osgi.container.ModuleContainer$ContainerStartLevel.incStartLevel(ModuleContainer.java:1582)
	at org.eclipse.osgi.container.ModuleContainer$ContainerStartLevel.incStartLevel(ModuleContainer.java:1562)
	at org.eclipse.osgi.container.ModuleContainer$ContainerStartLevel.doContainerStartLevel(ModuleContainer.java:1533)
	at org.eclipse.osgi.container.SystemModule.startWorker(SystemModule.java:242)
	at org.eclipse.osgi.container.Module.doStart(Module.java:571)
	at org.eclipse.osgi.container.Module.start(Module.java:439)
	at org.eclipse.osgi.container.SystemModule.start(SystemModule.java:172)
	at org.eclipse.osgi.internal.framework.EquinoxBundle.start(EquinoxBundle.java:393)
	at org.eclipse.osgi.internal.framework.EquinoxBundle.start(EquinoxBundle.java:412)
	at org.eclipse.osgi.launch.Equinox.start(Equinox.java:115)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.startup(EclipseStarter.java:318)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:231)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:648)
	at org.eclipse.equinox.launcher.Main.basicRun(Main.java:603)
	at org.eclipse.equinox.launcher.Main.run(Main.java:1465)
	at org.eclipse.equinox.launcher.Main.main(Main.java:1438)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackage(ResolverImpl.java:943)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:865)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.mergeCandidatePackages(ResolverImpl.java:889)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:733)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:741)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:741)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:741)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:741)
	at org.apache.felix.resolver.ResolverImpl.calculatePackageSpaces(ResolverImpl.java:741)
	at org.apache.felix.resolver.ResolverImpl.resolve(ResolverImpl.java:251)
	at org.eclipse.osgi.container.ModuleResolver$ResolveProcess.resolveSingleRevision(ModuleResolver.java:948)
	at org.eclipse.osgi.container.ModuleResolver$ResolveProcess.resolve(ModuleResolver.java:878)
	at org.eclipse.osgi.container.ModuleResolver.resolveDelta(ModuleResolver.java:111)
	at org.eclipse.osgi.container.ModuleContainer.resolveAndApply(ModuleContainer.java:479)
	at org.eclipse.osgi.container.ModuleContainer.resolve(ModuleContainer.java:437)
	at org.eclipse.osgi.container.ModuleContainer.resolve(ModuleContainer.java:427)
	at org.eclipse.osgi.container.Module.start(Module.java:416)
	at org.eclipse.osgi.internal.framework.EquinoxBundle.start(EquinoxBundle.java:393)
	at org.eclipse.osgi.internal.framework.EquinoxBundle.start(EquinoxBundle.java:412)
	at org.eclipse.equinox.internal.simpleconfigurator.ConfigApplier.startBundles(ConfigApplier.java:438)
	at org.eclipse.equinox.internal.simpleconfigurator.ConfigApplier.install(ConfigApplier.java:111)
	at org.eclipse.equinox.internal.simpleconfigurator.SimpleConfiguratorImpl.applyConfiguration(SimpleConfiguratorImpl.java:191)
	at org.eclipse.equinox.internal.simpleconfigurator.SimpleConfiguratorImpl.applyConfiguration(SimpleConfiguratorImpl.java:205)",tjwatson,tjwatson,fixed,1,resolved,4,2015-04-08,0,8,2015-01-16,0,blocker,6
Z_ARCHIVED-113903,2005-10-26,WTP Datatools,Z_ARCHIVED,Oracle 10 vendor doc - default length not defined for CHARACTER datatypes, ,ledunnel,hskolwal,fixed,1,closed,6,2013-02-20,0,5,2005-10-26,0,blocker,6
GMF-RUNTIME-126443,2006-02-03,General,GMF-RUNTIME,Compilation error in MSLCrossReferenceAdapter blocking build,"The following error is present using the latest EMF integration build (I20060202-0200):

The return type is incompatible with ECrossReferenceAdapter.getCrossReferenceAdapter(Notifier)MSLCrossReferenceAdapter.java	org.eclipse.gmf.runtime.emf.core/src/org/eclipse/gmf/runtime/emf/core/internal/index	line 552",gmf.runtime.emf-inbox,richard.gronback,fixed,1,resolved,4,2010-07-19,0,3,2006-02-04,1,blocker,6
JUBULA-363167,2011-11-08,UI,JUBULA,Using categories in Central Test Data Editor: After importing a project it is not possible to create subnodes in already existing categories,,zeb.ford-reitz,Oliver.Goetz,fixed,1,closed,6,2012-02-23,0,5,2011-11-09,1,blocker,6
Z_ARCHIVED-54938,2004-03-16,Hyades,Z_ARCHIVED,Test exection hangs for all Hyades test types,Test exection hangs for all Hyades test types,jptoomey,jptoomey,fixed,1,closed,6,2012-02-15,0,4,2004-03-16,0,blocker,6
Z_ARCHIVED-158233,2006-09-21,TPTP.monitoring,Z_ARCHIVED,NullPointerException: when select a mbean under the Resource Topology,"Under the Resource Topology I have list of registered Mbeans and I use to be able to right click to open a new Agent Explorer.  I get the following exception.

java.lang.NullPointerException
at java.util.Hashtable.put(Unknown Source)
at org.eclipse.tptp.monitoring.managedagent.ui.explorer.provisional.controller.ManagedResourceNode.fillContextMenu(ManagedResourceNode.java:273)
at org.eclipse.tptp.monitoring.managedagent.ui.explorer.internal.ui.MAExplorerView.fillContextMenu(MAExplorerView.java:424)
at org.eclipse.tptp.monitoring.managedagent.ui.explorer.internal.ui.MAExplorerView.access$8(MAExplorerView.java:419)
at org.eclipse.tptp.monitoring.managedagent.ui.explorer.internal.ui.MAExplorerView$5.menuAboutToShow(MAExplorerView.java:403)
at org.eclipse.jface.action.MenuManager.fireAboutToShow(MenuManager.java:289)
at org.eclipse.jface.action.MenuManager.handleAboutToShow(MenuManager.java:395)
at org.eclipse.jface.action.MenuManager.access$1(MenuManager.java:391)
at org.eclipse.jface.action.MenuManager$2.menuShown(MenuManager.java:417)
at org.eclipse.swt.widgets.TypedListener.handleEvent(TypedListener.java:117)
at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:66)
at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:928)
at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:952)
at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:933)",bsubram,mmings,fixed,1,closed,6,2010-06-03,0,5,2006-10-04,13,blocker,6
BIRT-276408,2009-05-14,Report,BIRT,org.eclipse.birt.report.model.adapter.oda.tests has compile error in 2.5.0 daily build  v2009515-0630,"Created attachment 135900
error report in 2.5.0 daily build v20090515-0630.

org.eclipse.birt.report.model.adapter.oda.tests has compile error in 2.5.0 daily build  v2009515-0630.
Please see the attachment for details.",ywang,yjiang,fixed,1,closed,6,2010-03-19,0,4,2009-05-14,0,blocker,6
COMMUNITY-427525,2014-02-05,Marketplace,COMMUNITY,No new downloads on Eclipse labs anymore. How should I host my update site?,"Google decided to disable downloads service for Google Code (and so for Eclipse Labs) see [1]. Pity since I hosted all my plugins there. Now I wanted to upload a new version and so hit the wall.

The proposal to move files to Google Drive is lame. I've spent half an hour by grocking how I can get a link to the jar file which I can integrate into my update site. I'm still not sure if this will work with p2 and even if it will work how long Google will keep that format below.

https://docs.google.com/uc?export=download&id=

For example the url for the beta version of anyedit plugin looks like:
https://docs.google.com/uc?export=download&id=0B7vALkuico9hVkw3cXlPZ2lBRzQ

What the hell???

How can one know from the url above if this a jar zip or exe file virus or pdf document? (it's a zipped update size btw). 

So please could you talk with Google regarding Eclipse Labs? May be we can get downloads back as exception from they new rule?

If they deny the collaboration could you check what we can do to allow people like me (3rd party plugin authors without organization&money behind) an easy to use Eclipse plugin hosting solution (similar what the original Eclipse Labs page was supposed to be: code/update site/bug tracker)? 

P.S.
My first choice would be Github but Github doesn't support downloads either. Sourceforge is too weird and too awkward to use so I would not even think to move there.

[1] http://google-opensource.blogspot.de/2013/05/a-change-to-google-code-download-service.html",marketplace-inbox,loskutov,fixed,1,resolved,4,2016-11-07,1,7,2016-11-07,1006,blocker,6
