bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
FIREFOX-335441,2006-04-25,Search,FIREFOX,Change tiny drop-down in browser search box into a button/drop-down combo to the right of the search box, ,pamg.bugs,mozilla,duplicate,1,resolved,4,2006-06-06,0,50,2006-05-05,10,normal,2
ADDONS.MOZILLA.ORG_GRAVEYARD-330468,2006-03-14,Public Pages,ADDONS.MOZILLA.ORG_GRAVEYARD,Extension pages on https://addons.mozilla.org have stopped updating as of March 13 2006,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.0.1) Gecko/20060111 Firefox/1.5.0.1
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.8.0.1) Gecko/20060111 Firefox/1.5.0.1

The public extension pages are no longer updating.  This means new releases aren't showing up updated developer comments are still showing the old comments and new posted comments aren't being displayed.  This started occuring some time on March 13 2006.

Example 1: My extension had an accepted 0.9.8 release yesterday and the developer page shows 0.9.8 as released but the public page still shows 0.9.7 as the current release.  It also does not display my updating developer comments.
https://addons.mozilla.org/developers/itemoverview.php?id=1264

Example 2: The neweset extension page ( https://addons.mozilla.org/extensions/showlist.php?application=firefox&category=Newest ) shows a brand new extension (Extension Manager Extended 2.1) as being released yesterday but going to that extension's public page says it does not exist.
https://addons.mozilla.org/extensions/moreinfo.php?id=2195

Reproducible: Always

Steps to Reproduce:",morgamic,morac99-firefox2,duplicate,1,resolved,4,2016-02-04,0,2,2006-03-14,0,major,4
DIRECTORY-12884,1999-08-31,PerLDAP,DIRECTORY,Controls don't work with API.xs,"Eric C. Hagberg  writes:

Are there any examples for PerLDAP using controls specifically VLV or
persistent searches?

Tried a few things after reading the C SDK and the Mozilla::LDAP::API
docs but I can't seem to even get a successful result from a
ldap_create_sort_control() or ldap_create_virtuallist_control() call.
They always seem to return a Bad parameter to an ldap routine error.

Thanks
-Eric",kmccarth,kmccarth,duplicate,1,resolved,4,1999-09-08,0,5,1999-09-08,8,blocker,6
CORE-127189,2002-02-21,XUL,CORE,sizetopopup should set min size = popup size,"In order for XBL select widgets to not shrink narrower when space is
constrained we need sizetopopup for a menulist to set the min width of the
menulist to the popup width (in addition to the preferred width).",bryner,bryner,duplicate,1,resolved,4,2008-07-31,0,12,2002-02-27,6,normal,2
CORE-514634,2009-09-04,Layout,CORE,some misc block frame code cleanup,Noticed a few things while working on another bug that I wanted to followup on.,tnikkel,tnikkel,duplicate,1,resolved,4,2009-09-10,0,6,2009-09-10,6,normal,2
BUGZILLA-201018,2003-04-07,Creating/Changing Bugs,BUGZILLA,editusers.cgi never calls DeriveGroup prior to changing a bug,"This means if you edit a user's groups and they have privileges which are
inherited from a group you changed those privilege changes aren't taken into
account.

I fixed this on Zippy's install by calling DeriveGroup from editusers after
changing the user's groups.  Patch coming",justdave,justdave,duplicate,1,resolved,4,2012-12-18,0,14,2003-04-24,17,normal,2
WWW.MOZILLA.ORG-529207,2009-11-16,General,WWW.MOZILLA.ORG,[l10n: mk] updated main.lang file for www.mozilla.com,"Created attachment 412765
updated main.lang file

Attached the updated main.lang file.

ps.
I've tried to svn commit directly but I got a 403 Forbidden error. Whith whom should I debug this issue firther?",pascalc,gdamjan,duplicate,1,resolved,4,2012-08-23,0,5,2009-12-14,28,normal,2
CORE-296163,2005-05-31,Networking,CORE,Auto-detect proxy settings (proxy configuration over a URL PAC) doesn't work if PAC file contains non-ASCII text,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.8b2) Gecko/20050518
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.8b2) Gecko/20050530

The proxy configuration over a URL like http://proxyconf doesn't work.
Sites with access over the proxy could not be reach. 

I found the problem with
Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.8b2) Gecko/20050518
and reproduce it with
Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.8b2) Gecko/20050530

There are no problems with the release version of Mozilla 1.8b.

Reproducible: Always

Steps to Reproduce:
Use a proxyserver to access sites and use a configuration scrit to setup the
browser.",darin.moz,bugzilla.alex,duplicate,1,resolved,4,2005-06-23,0,32,2005-06-22,22,major,4
MAILNEWS_CORE-270415,2004-11-17,Address Book,MAILNEWS_CORE,should not be able to drag mailing list onto itself,"User-Agent:       Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.7.5) Gecko/20041107 Firefox/1.0
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.0 en-US rv:1.7.5) Gecko/20041107 Firefox/1.0

You can drop a mailing list into the same mailing list

Reproducible: Always
Steps to Reproduce:
1.
2.
3.

Actual Results:  
A contact is created...

Expected Results:  
the mailing lists must not be viewable",standard8,rnoel,duplicate,1,resolved,4,2008-07-31,0,4,2006-05-22,551,normal,2
CORE-294893,2005-05-20,XPConnect,CORE,Major leakage on Linux balsa Dep GTK1 (gcc 3.4),"As of the 2005-05-19 20:26 build trace_malloc_leakage on this build has
skyrocketed from 300k to 1.35MB

I've attempted to CC everyone who checked in something that might relate to this
bug. I apologize if I was overzealous here I'm trying to do the best I can
while not knowing an awful lot about Tinderbox / build mechanisms.

Leak graph:
http://build-graphs.mozilla.org/graph/query.cgi?tbox=balsa&testname=trace_malloc_leaks&autoscale=1&size=&days=7&units=bytes&ltype=&points=&avg=1&showpoint=


Bonsai timeframe:
http://bonsai.mozilla.org/cvsquery.cgi?treeid=default&module=all&branch=HEAD&branchtype=match&dir=&file=&filetype=match&who=&whotype=match&sortby=Date&hours=2&date=explicit&mindate=2005-05-19+17%3A52%3A00&maxdate=2005-05-19+20%3A26%3A00&cvsroot=%2Fcvsroot

Note: this probably doesn't belong in Firefox > General but I have no idea
where else it ought to go for now. In a somewhat similar timeframe the
Seamonkey build also got 200k extra leakage - I don't know if this is related.",bzbarsky,gijskruitbosch+bugs,duplicate,1,resolved,4,2006-03-12,1,40,2005-05-26,6,major,4
WEBTOOLS_GRAVEYARD-381863,2007-05-24,Litmus,WEBTOOLS_GRAVEYARD,Create a Litmus install FAQ,We've started handling install help requests from a variety of groups that want to install Litmus for their own use. For questions that don't map to broken code we should capture this information in a user-editable format (wiki/QMO) so we can have something to point users to for common install problems.,coop,coop,duplicate,1,resolved,4,2016-06-21,0,2,2007-05-24,0,normal,2
CORE-548193,2010-02-23,DOM: Core & HTML,CORE,Content Security Policy XML reports have escaping bugs should probably use JSON anyway,"Jonas and I talked this over with sstamm today. The csp-report documents are produced using string concatenation leading to pretty much inevitable escaping bugs. We all agreed JSON is a better fit anyway. Use the built-in JSON.stringify method to get something correctly escaped.

site of bug:

http://mxr.mozilla.org/mozilla-central/source/content/base/src/contentSecurityPolicy.js#250",brandon,sayrer,duplicate,1,resolved,4,2019-03-13,0,5,2010-05-27,93,normal,2
RELEASE_ENGINEERING-494947,2009-05-26,General,RELEASE_ENGINEERING,Repeated build failures on moz2-darwin9-slave02 & bm-xserve22,"There have been more oranges than usual on Mac boxes today including:

http://tinderbox.mozilla.org/showlog.cgi?log=Firefox/1243367145.1243367153.28846.gz&fulltext=1

and

http://tinderbox.mozilla.org/showlog.cgi?log=Firefox/1243364201.1243364208.22727.gz&fulltext=1

Both of which have an update failed message within them but no error auto-parsed out.

Possibly related is a mac unit test box failure:

http://tinderbox.mozilla.org/showlog.cgi?log=Firefox/1243362575.1243362584.19658.gz&fulltext=1

which reports:

abort: error: Temporary failure in name resolution
abort: error: Temporary failure in name resolution

Haven't seen this on 191 yet.",nthomas,bugzilla,duplicate,1,resolved,4,2013-08-12,0,5,2009-05-26,0,major,4
DEVELOPER.MOZILLA.ORG-416840,2008-02-11,General,DEVELOPER.MOZILLA.ORG,Fix  and  cruft,"Since we removed the breadcrumbs and title-override extensions from developer.mozilla.org many pages now actually show

 

or

 JS_LookupProperty

The new wiki will fix this for the short term let's make the extensions emit nothing.",nobody,jorendorff,duplicate,1,resolved,4,2012-09-18,0,4,2008-02-12,1,normal,2
TECH_EVANGELISM_GRAVEYARD-145390,2002-05-17,English US,TECH_EVANGELISM_GRAVEYARD,ew.com - Critical Mass lookup script sending invalid header,"http://cgi.pathfinder.com/cgi-bin/ew/critmassvote/search.pl
is sending the type header as Content/type: text/html instead of Content-type.
I don't believe the slash instead of hyphen is legal. This is causing the
Mozilla to treat it as plain/text and display the source under a win32 trunk
build from May-17.",wade,wade,duplicate,1,resolved,4,2015-04-19,0,4,2002-09-23,129,normal,2
